Vial_Label,Haul Code,Fish_number,Length(mm),
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,2,9.53,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,3,9.51,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,4,8.67,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,5,12.53,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,6,10.74,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,7,8.97,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,8,8.34,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,9,7.27,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,10,8.46,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,11,9.24,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,12,11.43,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,13,10.18,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,14,10.62,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,15,9.96,Gut region damaged
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,16,6.83,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,17,8.44,Gut region damaged
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,18,8.31,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,19,7.26,Tail section damaged
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,20,6.74,Midsection broken during measurement
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,21,8.84,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,22,8.3,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,23,16.94,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,24,5.89,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,25,5.85,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,26,6.71,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,27,6.83,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,28,7.19,Gut region damaged
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,29,6.97,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,30,6.11,Midsection damaged
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,31,4.84,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,32,4.48,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,33,3.82,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,34,3.71,
,,,,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,1,10.32,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,2,9.57,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,3,5.86,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,4,11.78,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,5,10.34,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,6,9.96,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,7,8.91,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,8,9.31,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,9,10.32,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,10,10.95,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,11,10.73,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,12,10.16,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,13,5.06,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,14,9.73,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,15,9.44,Missing an eye
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,16,10.91,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,17,11.16,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,18,8.16,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,19,10.28,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,20,7.18,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,21,9.85,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,22,8.62,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,23,8.89,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,24,8.87,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,25,8.15,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,26,7.78,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,27,8.13,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,28,7.24,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,29,9.38,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,30,6.36,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,31,5.05,Measurement likely inaccurate; body segmented
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,32,8.5,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,33,7.92,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,34,7.65,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,35,9.02,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,36,8.88,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,37,8.59,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,38,8.55,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,39,7.93,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,40,6.69,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,41,5.18,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,42,7.92,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,43,8.54,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,44,6.63,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,45,6.81,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,46,6.23,Midsection partially broken
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,47,5.69,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,48,6.19,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,49,7.32,
mezcalW19-20190307-NH-S2-MbD-Moc1-N3,319-1-3,50,6.24,
,,,,
mezcalW19-20190307-NH-S3-MbD-Moc1-N2,318-1-2,1,6.56,
mezcalW19-20190307-NH-S3-MbD-Moc1-N2,318-1-2,2,3.62,
,,,,
mezcalW19-20190307-NH-S3-MbD-Moc1-N4,318-1-4,1,6.56,
mezcalW19-20190307-NH-S3-MbD-Moc1-N4,318-1-4,2,3.62,
,,,,
mezcalW19-20190307-NH-S3-MbD-Moc4-N1,318-4-1,1,10.01,
,,,,
mezcalW19-20190307-NH-S3-MbD-Moc4-N4,318-4-4,1,14.67,Body disintegrated
mezcalW19-20190307-NH-S3-MbD-Moc4-N4,318-4-4,2,13.54,Body disintegrated
mezcalW19-20190307-NH-S3-MbD-Moc4-N4,318-4-4,3,10.12,
,,,,
mezcalW19-20190307-NH-S3-MbD-Moc4-N2,318-4-2,1,9.77,
mezcalW19-20190307-NH-S3-MbD-Moc4-N2,318-4-2,2,9.75,
,,,,
mezcalW19-20190307-NH-S3-MbD-Moc4-N3,318-4-3,1,11.53,
,,,,
mezcalW19-20190307-NH-S1-MbD-Moc4-N3,320-4-3,1,7.21,
mezcalW19-20190307-NH-S1-MbD-Moc4-N3,320-4-3,2,5.52,
mezcalW19-20190307-NH-S1-MbD-Moc4-N3,320-4-3,3,9.71,
mezcalW19-20190307-NH-S1-MbD-Moc4-N3,320-4-3,4,11.81,
mezcalW19-20190307-NH-S1-MbD-Moc4-N3,320-4-3,5,14.41,Gut region not present
mezcalW19-20190307-NH-S1-MbD-Moc4-N3,320-4-3,6,15.89,
,,,,
mezcalW19-20190307-NH-S1-MbD-Moc1-N3,320-1-3,1,12,
mezcalW19-20190307-NH-S1-MbD-Moc1-N3,320-1-3,2,10.61,
mezcalW19-20190307-NH-S1-MbD-Moc1-N3,320-1-3,3,11.35,
mezcalW19-20190307-NH-S1-MbD-Moc1-N3,320-1-3,4,11.91,
mezcalW19-20190307-NH-S1-MbD-Moc1-N3,320-1-3,5,8.42,"Gut region and head damaged, missing both eyes"
mezcalW19-20190307-NH-S1-MbD-Moc1-N3,320-1-3,6,11.82,
mezcalW19-20190307-NH-S1-MbD-Moc1-N3,320-1-3,7,11.37,
mezcalW19-20190307-NH-S1-MbD-Moc1-N3,320-1-3,8,12.82,
mezcalW19-20190307-NH-S1-MbD-Moc1-N3,320-1-3,9,11.25,
mezcalW19-20190307-NH-S1-MbD-Moc1-N3,320-1-3,10,9.36,
mezcalW19-20190307-NH-S1-MbD-Moc1-N3,320-1-3,11,12.67,
mezcalW19-20190307-NH-S1-MbD-Moc1-N3,320-1-3,12,14.71,
mezcalW19-20190307-NH-S1-MbD-Moc1-N3,320-1-3,13,3.65,
mezcalW19-20190307-NH-S1-MbD-Moc1-N3,320-1-3,14,3.11,
,,,,
mezcalW19-20190305-NH-S3-MaD-Moc4-N3,308-4-3,1,9.31,
mezcalW19-20190305-NH-S3-MaD-Moc4-N3,308-4-3,2,9.77,
mezcalW19-20190305-NH-S3-MaD-Moc4-N3,308-4-3,3,10.46,
,,,,
mezcalW19-20190305-NH-S3-MaD-Moc4-N4,308-4-4,1,8.4,
mezcalW19-20190305-NH-S3-MaD-Moc4-N4,308-4-4,2,9.42,
mezcalW19-20190305-NH-S3-MaD-Moc4-N4,308-4-4,3,10.79,
mezcalW19-20190305-NH-S3-MaD-Moc4-N4,308-4-4,4,10.44,
mezcalW19-20190305-NH-S3-MaD-Moc4-N4,308-4-4,5,9.74,
mezcalW19-20190305-NH-S3-MaD-Moc4-N4,308-4-4,6,8.2,
mezcalW19-20190305-NH-S3-MaD-Moc4-N4,308-4-4,7,7.65,
mezcalW19-20190305-NH-S3-MaD-Moc4-N4,308-4-4,8,11.05,
mezcalW19-20190305-NH-S3-MaD-Moc4-N4,308-4-4,9,10.65,
,,,,
mezcalW19-20190305-NH-S3-MaD-Moc1-N4,308-1-4,1,3.63,
mezcalW19-20190305-NH-S3-MaD-Moc1-N4,308-1-4,2,4.46,
mezcalW19-20190305-NH-S3-MaD-Moc1-N4,308-1-4,3,6.07,
mezcalW19-20190305-NH-S3-MaD-Moc1-N4,308-1-4,4,8.61,Tail section partially broken
mezcalW19-20190305-NH-S3-MaD-Moc1-N4,308-1-4,5,5.7,
mezcalW19-20190305-NH-S3-MaD-Moc1-N4,308-1-4,6,10.41,
mezcalW19-20190305-NH-S3-MaD-Moc1-N4,308-1-4,7,10.16,
,,,,
mezcalW19-20190305-NH-S3-MaD-Moc1-N3,308-1-3,1,11.6,
,,,,
mezcalW19-20190305-NH-S3-MaD-Moc4-N2,308-4-2,1,11.02,
,,,,
mezcalW19-20190305-NH-S2-MaD-Moc1-N2,309-1-2,1,4.36,
,,,,
mezcalW19-20190305-NH-S2-MaD-Moc1-N3,309-1-3,1,9.49,
mezcalW19-20190305-NH-S2-MaD-Moc1-N3,309-1-3,2,5.22,
mezcalW19-20190305-NH-S2-MaD-Moc1-N3,309-1-3,3,8.55,
,,,,
mezcalW19-20190305-NH-S2-MaD-Moc1-N4,309-1-4,1,7.61,
mezcalW19-20190305-NH-S2-MaD-Moc1-N4,309-1-4,2,3.78,"Head damaged, missing both eyes"
mezcalW19-20190305-NH-S2-MaD-Moc1-N4,309-1-4,3,4.29,
mezcalW19-20190305-NH-S2-MaD-Moc1-N4,309-1-4,4,8.6,
mezcalW19-20190305-NH-S2-MaD-Moc1-N4,309-1-4,5,8.45,
mezcalW19-20190305-NH-S2-MaD-Moc1-N4,309-1-4,6,11.45,Measurement inaccurate; segment of body missing
mezcalW19-20190305-NH-S2-MaD-Moc1-N4,309-1-4,7,4.06,
mezcalW19-20190305-NH-S2-MaD-Moc1-N4,309-1-4,8,4.43,
mezcalW19-20190305-NH-S2-MaD-Moc1-N4,309-1-4,9,11.28,
,,,,
mezcalW19-20190305-NH-S2-MaD-Moc4-N3,309-4-3,1,8.7,
mezcalW19-20190305-NH-S2-MaD-Moc4-N3,309-4-3,2,8.56,
mezcalW19-20190305-NH-S2-MaD-Moc4-N3,309-4-3,3,8.73,
mezcalW19-20190305-NH-S2-MaD-Moc4-N3,309-4-3,4,11.41,Gut region not present
mezcalW19-20190305-NH-S2-MaD-Moc4-N3,309-4-3,5,9.73,
mezcalW19-20190305-NH-S2-MaD-Moc4-N3,309-4-3,6,9.36,
mezcalW19-20190305-NH-S2-MaD-Moc4-N3,309-4-3,7,8.73,
mezcalW19-20190305-NH-S2-MaD-Moc4-N3,309-4-3,8,12.32,"Measurement inaccurate; head detached from body, gut region not present"
mezcalW19-20190305-NH-S2-MaD-Moc4-N3,309-4-3,9,9.43,
mezcalW19-20190305-NH-S2-MaD-Moc4-N3,309-4-3,10,10.4,
mezcalW19-20190305-NH-S2-MaD-Moc4-N3,309-4-3,11,8.5,
mezcalW19-20190305-NH-S2-MaD-Moc4-N3,309-4-3,12,13.2,
mezcalW19-20190305-NH-S2-MaD-Moc4-N3,309-4-3,13,8.5,
mezcalW19-20190305-NH-S2-MaD-Moc4-N3,309-4-3,14,14,
,,,,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,1,8.26,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,2,8.46,Measurement inaccurate; head detached from body
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,3,13,Gut region not present
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,4,14.12,Gut region not present
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,5,10.55,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,6,8.83,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,7,9.79,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,8,9.98,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,9,10.19,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,10,10.27,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,11,9.27,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,12,9.68,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,13,8.49,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,14,9.38,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,15,11.06,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,16,11.09,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,17,11.12,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,18,11.46,
mezcalW19-20190305-NH-S2-MaD-Moc4-N4,309-4-4,19,13.07,
,,,,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,1,7.08,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,2,7.78,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,3,8.1,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,4,8.73,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,5,9.39,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,6,7.69,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,7,10.81,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,8,9.24,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,9,8.31,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,10,5.28,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,11,2.42,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,12,10.3,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,13,5.84,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,14,4.48,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,15,8.76,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,16,6.31,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,17,7.43,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,18,9.43,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,19,5.52,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,20,5.28,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,21,8.46,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,22,5.61,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,23,8.61,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,24,2.68,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,25,4.06,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,26,8.24,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,27,5.04,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,28,15.66,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,29,4.86,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,30,1.83,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,31,2.15,
mezcalW19-20190307-NH-S1-MbD-Moc1-N4,320-1-4,32,1.8,
,,,,
mezcalW19-20190305-NH-S1-MaD-Moc1-N3,310-1-3,1,10.36,
mezcalW19-20190305-NH-S1-MaD-Moc1-N3,310-1-3,2,11.17,
mezcalW19-20190305-NH-S1-MaD-Moc1-N3,310-1-3,3,17.59,
,,,,
mezcalW19-20190305-NH-S1-MaD-Moc1-N4,310-1-4,1,10.25,
mezcalW19-20190305-NH-S1-MaD-Moc1-N4,310-1-4,2,6.67,
mezcalW19-20190305-NH-S1-MaD-Moc1-N4,310-1-4,3,5.87,
mezcalW19-20190305-NH-S1-MaD-Moc1-N4,310-1-4,4,8.38,
mezcalW19-20190305-NH-S1-MaD-Moc1-N4,310-1-4,5,8.08,
mezcalW19-20190305-NH-S1-MaD-Moc1-N4,310-1-4,6,9,
mezcalW19-20190305-NH-S1-MaD-Moc1-N4,310-1-4,7,9.18,
mezcalW19-20190305-NH-S1-MaD-Moc1-N4,310-1-4,8,4.82,
mezcalW19-20190305-NH-S1-MaD-Moc1-N4,310-1-4,9,9.06,
mezcalW19-20190305-NH-S1-MaD-Moc1-N4,310-1-4,10,10.48,
mezcalW19-20190305-NH-S1-MaD-Moc1-N4,310-1-4,11,9.68,
mezcalW19-20190305-NH-S1-MaD-Moc1-N4,310-1-4,12,10.54,
mezcalW19-20190305-NH-S1-MaD-Moc1-N4,310-1-4,13,12.32,
,,,,
mezcalW19-20190305-NH-S1-MaD-Moc4-N3,310-4-3,1,10.21,
mezcalW19-20190305-NH-S1-MaD-Moc4-N3,310-4-3,2,8.68,
mezcalW19-20190305-NH-S1-MaD-Moc4-N3,310-4-3,3,12.28,
mezcalW19-20190305-NH-S1-MaD-Moc4-N3,310-4-3,4,7.55,
mezcalW19-20190305-NH-S1-MaD-Moc4-N3,310-4-3,5,11.33,
mezcalW19-20190305-NH-S1-MaD-Moc4-N3,310-4-3,6,9.98,
mezcalW19-20190305-NH-S1-MaD-Moc4-N3,310-4-3,7,10.95,
mezcalW19-20190305-NH-S1-MaD-Moc4-N3,310-4-3,8,11.69,
mezcalW19-20190305-NH-S1-MaD-Moc4-N3,310-4-3,9,13.84,
mezcalW19-20190305-NH-S1-MaD-Moc4-N3,310-4-3,10,13.34,
mezcalW19-20190305-NH-S1-MaD-Moc4-N3,310-4-3,11,14.7,
,,,,
mezcalW19-20190307-NH-S4-MbD-Moc1-N3,317-1-3,1,2.49,"Missing both eyes, tail broken during measurement"
,,,,
mezcalW19-20190307-NH-S4-MbD-Moc1-N1,317-1-1,1,5.47,
,,,,
mezcalW19-20190307-NH-S4-MbD-Moc1-N4,317-1-4,1,5.89,Tail section partially broken
mezcalW19-20190307-NH-S4-MbD-Moc1-N4,317-1-4,2,4.41,
mezcalW19-20190307-NH-S4-MbD-Moc1-N4,317-1-4,3,5.31,Chunk of tail section missing
,,,,
mezcalW19-20190307-NH-S4-MbD-Moc4-N3,317-4-3,1,7.42,
mezcalW19-20190307-NH-S4-MbD-Moc4-N3,317-4-3,2,8.22,
,,,,
mezcalW19-20190305-NH-S4-MaD-Moc1-N4,307-1-4,1,4.34,
mezcalW19-20190305-NH-S4-MaD-Moc1-N4,307-1-4,2,3.82,
mezcalW19-20190305-NH-S4-MaD-Moc1-N4,307-1-4,3,3.33,
mezcalW19-20190305-NH-S4-MaD-Moc1-N4,307-1-4,4,3.34,
mezcalW19-20190305-NH-S4-MaD-Moc1-N4,307-1-4,5,3.45,
,,,,
mezcalW19-20190305-NH-S4-MaD-Moc4-N4,307-4-4,1,7.79,
mezcalW19-20190305-NH-S4-MaD-Moc4-N4,307-4-4,2,8.07,
mezcalW19-20190305-NH-S4-MaD-Moc4-N4,307-4-4,3,7.98,
mezcalW19-20190305-NH-S4-MaD-Moc4-N4,307-4-4,4,9.01,
mezcalW19-20190305-NH-S4-MaD-Moc4-N4,307-4-4,5,10.2,
mezcalW19-20190305-NH-S4-MaD-Moc4-N4,307-4-4,6,12.27,
,,,,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,1,10.33,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,2,10.14,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,3,8.96,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,4,10.45,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,5,10.97,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,6,8.23,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,7,9.55,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,8,10.93,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,9,7.82,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,10,9.41,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,11,11.44,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,12,12.29,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,13,10.3,Head partially broken
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,14,8.97,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,15,10.37,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,16,11.22,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,17,10.38,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,18,11.63,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,19,11.41,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,20,10.25,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,21,12.33,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,22,10.77,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,23,11.21,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,24,8.64,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,25,10.99,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,26,10.48,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,27,8.69,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,28,9.58,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,29,11.78,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,30,7.61,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,31,13.28,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,32,10.67,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,33,6.81,Measurement inaccurate; tail section missing
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,34,11.03,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,35,11.22,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,36,10.79,Measurement may be inaccurate; head severely damaged
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,37,12.48,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,38,9.66,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,39,9.37,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,40,9.06,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,41,8.94,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,42,13.97,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,43,10.4,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,44,10.79,Tail section partially broken
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,45,8.09,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,46,11.82,Head and gut region damaged
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,47,10.41,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,48,12.8,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,49,14.71,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,50,9.04,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,51,10.86,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,52,8.16,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,53,10.41,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,54,9.38,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,55,8.18,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,56,9.46,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,57,10.21,Tail section partially broken
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,58,6.03,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,59,10.5,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,60,10.32,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,61,9.26,
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,62,10.65,Head slightly damaged
mezcalW19-20190305-NH-S1-MaD-Moc4-N4,310-4-4,63,10.46,
