Cruise,Haul.no,Moc,Net.no,Transect,Station,Fish.no,Length(mm),notes 
SPECTRA_W23,305-1-4,1,4,GH,2,11,3.44,
SPECTRA_W23,305-1-4,1,4,GH,2,12,2.9,
SPECTRA_W23,305-1-4,1,4,GH,2,13,4.26,
SPECTRA_W23,305-1-4,1,4,GH,2,14,9.73,flexion
SPECTRA_W23,305-1-4,1,4,GH,2,15,7.53,
SPECTRA_W23,305-1-4,1,4,GH,2,16,7.92,
SPECTRA_W23,305-1-4,1,4,GH,2,17,4.06,
SPECTRA_W23,305-1-4,1,4,GH,2,18,4.05,
SPECTRA_W23,305-1-4,1,4,GH,2,19,7.96,
SPECTRA_W23,305-1-4,1,4,GH,2,20,7.53,
SPECTRA_W23,305-1-4,1,4,GH,2,21,3.33,
SPECTRA_W23,305-1-4,1,4,GH,2,22,6.23,
SPECTRA_W23,305-1-4,1,4,GH,2,23,7.76,
SPECTRA_W23,305-1-4,1,4,GH,2,24,6.86,
SPECTRA_W23,305-1-4,1,4,GH,2,25,8.28,
SPECTRA_W23,305-1-4,1,4,GH,2,26,7.21,
SPECTRA_W23,305-1-4,1,4,GH,2,27,10.13,flexion
,,,,,,,,
SPECTRA_W23,305-4-0,4,0,GH,2,1,9.23,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,2,9.56,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,3,6.33,
SPECTRA_W23,305-4-0,4,0,GH,2,4,7.18,
SPECTRA_W23,305-4-0,4,0,GH,2,5,8.91,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,6,9.55,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,7,7.84,
SPECTRA_W23,305-4-0,4,0,GH,2,8,10.18,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,9,10.41,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,10,8.61,
SPECTRA_W23,305-4-0,4,0,GH,2,11,8.32,
SPECTRA_W23,305-4-0,4,0,GH,2,12,6.72,
SPECTRA_W23,305-4-0,4,0,GH,2,13,7.66,
SPECTRA_W23,305-4-0,4,0,GH,2,14,9.37,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,15,9.44,flexion
SPECTRA_W23,305-4-0,4,0,GH,2,16,12.18,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,17,8.67,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,18,9.7,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,19,9.64,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,20,8.69,flexion
SPECTRA_W23,305-4-0,4,0,GH,2,21,8.98,flexion
SPECTRA_W23,305-4-0,4,0,GH,2,22,7.94,flexion
SPECTRA_W23,305-4-0,4,0,GH,2,23,12.2,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,24,9.53,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,25,8.93,flexion
SPECTRA_W23,305-4-0,4,0,GH,2,26,8.77,flexion
SPECTRA_W23,305-4-0,4,0,GH,2,27,9.83,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,28,10.15,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,29,9.23,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,30,9.02,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,31,9.39,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,32,8.88,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,33,9.84,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,34,11.03,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,35,8.59,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,36,9.21,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,37,8.63,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,38,7.97,
SPECTRA_W23,305-4-0,4,0,GH,2,39,8.85,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,40,7.8,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,41,8.65,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,42,8.38,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,43,8.65,
SPECTRA_W23,305-4-0,4,0,GH,2,44,11.33,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,45,9.46,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,46,8.57,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,47,8.84,
SPECTRA_W23,305-4-0,4,0,GH,2,48,9.22,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,49,10.52,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,50,9.69,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,51,8.46,
SPECTRA_W23,305-4-0,4,0,GH,2,52,7.96,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,53,8.76,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,54,10.15,
SPECTRA_W23,305-4-0,4,0,GH,2,55,7.75,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,56,8.28,
SPECTRA_W23,305-4-0,4,0,GH,2,57,7.54,
SPECTRA_W23,305-4-0,4,0,GH,2,58,9.61,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,59,9.55,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,60,10.16,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,61,8.88,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,62,7.86,
SPECTRA_W23,305-4-0,4,0,GH,2,63,9.51,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,64,8.5,
SPECTRA_W23,305-4-0,4,0,GH,2,65,9.25,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,66,8.24,
SPECTRA_W23,305-4-0,4,0,GH,2,67,8.6,
SPECTRA_W23,305-4-0,4,0,GH,2,68,8.04,flexion
SPECTRA_W23,305-4-0,4,0,GH,2,69,8.78,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,70,9.68,post-flexion
SPECTRA_W23,305-4-0,4,0,GH,2,71,7.96,
SPECTRA_W23,305-4-0,4,0,GH,2,72,8.74,
SPECTRA_W23,305-4-0,4,0,GH,2,73,8.2,post-flexion
,,,,,,,,
SPECTRA_W23,305-4-2,4,2,GH,2,1,8.81,post-flexion
,,,,,,,,
SPECTRA_W23,305-4-3,4,3,GH,2,1,8.27,
