Cruise,Haul.no,Moc,Net.no,Transect,Station,Fish.no,Length(mm),notes ,
SPECTRA_W22,110-1-4p,1,4p,CR,2,1,6.31,,
SPECTRA_W22,110-1-4p,1,4p,CR,2,2,4.55,,
SPECTRA_W22,110-1-4p,1,4p,CR,2,3,4.3,,
SPECTRA_W22,110-1-4p,1,4p,CR,2,4,5.34,,
,,,,,,,,,
SPECTRA_W22,110-4-0,4,0,CR,2,1,15.67,post-flexion,
SPECTRA_W22,110-4-0,4,0,CR,2,2,NA,damaged,
SPECTRA_W22,110-4-0,4,0,CR,2,3,10.49,flexion,
SPECTRA_W22,110-4-0,4,0,CR,2,4,10.6,flexion,
SPECTRA_W22,110-4-0,4,0,CR,2,5,12.84,post-flexion,
SPECTRA_W22,110-4-0,4,0,CR,2,6,8.18,,
SPECTRA_W22,110-4-0,4,0,CR,2,7,11.07,post-flexion,
SPECTRA_W22,110-4-0,4,0,CR,2,8,12.71,post-flexion,
SPECTRA_W22,110-4-0,4,0,CR,2,9,14.16,post-flexion,
SPECTRA_W22,110-4-0,4,0,CR,2,10,14.65,post-flexion,
SPECTRA_W22,110-4-0,4,0,CR,2,11,13.9,post-flexion,
SPECTRA_W22,110-4-0,4,0,CR,2,12,15.74,post-flexion,
,,,,,,,,,
SPECTRA_W22,110-4-2,4,2,CR,2,1,16.89,post-flexion,
,,,,,,,,,
SPECTRA_W22,110-4-3,4,3,CR,2,1,9.26,,
,,,,,,,,,
SPECTRA_W22,110-4-4,4,4,CR,2,1,NA,damaged,
SPECTRA_W22,110-4-4,4,4,CR,2,2,10.56,,
SPECTRA_W22,110-4-4,4,4,CR,2,3,7.35,,
SPECTRA_W22,110-4-4,4,4,CR,2,4,9.03,,
SPECTRA_W22,110-4-4,4,4,CR,2,5,9.21,,
SPECTRA_W22,110-4-4,4,4,CR,2,6,8.59,,
SPECTRA_W22,110-4-4,4,4,CR,2,7,12.08,post-flexion,
SPECTRA_W22,110-4-4,4,4,CR,2,8,6.45,,
SPECTRA_W22,110-4-4,4,4,CR,2,9,9.95,,
SPECTRA_W22,110-4-4,4,4,CR,2,10,10.61,,
SPECTRA_W22,110-4-4,4,4,CR,2,11,6.42,,
SPECTRA_W22,110-4-4,4,4,CR,2,12,7.35,,
SPECTRA_W22,110-4-4,4,4,CR,2,13,8.61,,
SPECTRA_W22,110-4-4,4,4,CR,2,14,7.64,,
SPECTRA_W22,110-4-4,4,4,CR,2,15,6.29,,
SPECTRA_W22,110-4-4,4,4,CR,2,16,8.64,,
SPECTRA_W22,110-4-4,4,4,CR,2,17,7.46,,
SPECTRA_W22,110-4-4,4,4,CR,2,18,14.35,post-flexion,
SPECTRA_W22,110-4-4,4,4,CR,2,19,14.09,post-flexion,
SPECTRA_W22,110-4-4,4,4,CR,2,20,6.49,,
SPECTRA_W22,110-4-4,4,4,CR,2,21,14.65,post-flexion,
SPECTRA_W22,110-4-4,4,4,CR,2,22,11.28,post-flexion,
SPECTRA_W22,110-4-4,4,4,CR,2,23,16.25,post-flexion,
SPECTRA_W22,110-4-4,4,4,CR,2,24,8.98,,in ? Vial
,,,,,,,,,
SPECTRA_W22,112-1-4,1,4,CM,3,1,8.45,,
SPECTRA_W22,112-1-4,1,4,CM,3,2,6.87,,
,,,,,,,,,
SPECTRA_W22,112-4-0,4,0,CM,3,1,9.14,flexion,
,,,,,,,,,
SPECTRA_W22,113-1-3,1,3,CM,2,1,8.76,,
,,,,,,,,,
SPECTRA_W22,113-4-2,4,2,CM,2,1,11.54,post-flexion,
SPECTRA_W22,113-4-2,4,2,CM,2,2,15.2,post-flexion,
SPECTRA_W22,113-4-2,4,2,CM,2,3,13.85,post-flexion,
SPECTRA_W22,113-4-2,4,2,CM,2,4,8.29,,
,,,,,,,,,
SPECTRA_W22,113-4-3,4,3,CM,2,1,13.39,post-flexion,
SPECTRA_W22,113-4-3,4,3,CM,2,2,11.65,post-flexion,
SPECTRA_W22,113-4-3,4,3,CM,2,3,13.42,post-flexion,
SPECTRA_W22,113-4-3,4,3,CM,2,4,9.92,post-flexion,
SPECTRA_W22,113-4-3,4,3,CM,2,5,16.66,post-flexion,
,,,,,,,,,
SPECTRA_W22,114-1-0,1,0,CM,1,1,10.06,post-flexion,
SPECTRA_W22,114-1-0,1,0,CM,1,2,3.88,,
SPECTRA_W22,114-1-0,1,0,CM,1,3,6.49,,
SPECTRA_W22,114-1-0,1,0,CM,1,4,8.26,,
SPECTRA_W22,114-1-0,1,0,CM,1,5,5.5,,
SPECTRA_W22,114-1-0,1,0,CM,1,6,6.09,,
SPECTRA_W22,114-1-0,1,0,CM,1,7,4.57,,
SPECTRA_W22,114-1-0,1,0,CM,1,8,6.47,,
,,,,,,,,,
SPECTRA_W22,114-1-4,1,4,CM,1,1,8.62,,
SPECTRA_W22,114-1-4,1,4,CM,1,2,6.7,,
,,,,,,,,,
SPECTRA_W22,114-4-0,4,0,CM,1,1,6.72,,
SPECTRA_W22,114-4-0,4,0,CM,1,2,9.15,,
,,,,,,,,,
SPECTRA_W22,114-4-4,4,4,CM,1,1,8.95,,
SPECTRA_W22,114-4-4,4,4,CM,1,2,9,,
,,,,,,,,,
SPECTRA_W22,115-1-2,1,2,NH,4,1,8.61,post-flexion,
,,,,,,,,,
SPECTRA_W22,115-4-0,4,0,NH,4,1,10.18,post-flexion,
,,,,,,,,,
SPECTRA_W22,116-1-4,1,4,NH,5,1,10.65,post-flexion,
,,,,,,,,,
SPECTRA_W22,116-4-0,4,0,NH,5,1,9.28,post-flexion,
,,,,,,,,,
SPECTRA_W22,117-4-4,4,4,NH,6,1,NA,missing head,
,,,,,,,,,
SPECTRA_W22,118-1-0,1,0,NH,1,1,6.27,,
,,,,,,,,,
SPECTRA_W22,118-1-3,1,3,NH,1,1,14.76,post-flexion,
,,,,,,,,,
SPECTRA_W22,118-1-4,1,4,NH,1,1,9.55,damaged,
SPECTRA_W22,118-1-4,1,4,NH,1,2,5.41,,
SPECTRA_W22,118-1-4,1,4,NH,1,3,7.74,,
,,,,,,,,,
