Vial_Label,Haul Code,Length(mm),
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.73,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.26,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.32,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.72,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.5,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.16,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.98,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.06,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.36,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.71,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.13,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,12.13,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.34,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.69,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.99,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.18,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.18,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,15.1,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,14.75,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,13.04,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,12.12,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.16,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,13.28,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,16.12,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,12.54,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,14.91,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,NA,not English sole 
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.85,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.98,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.74,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.15,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,12.67,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.05,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.63,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.62,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,12.87,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.51,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.46,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.69,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.41,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.15,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.18,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.77,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.79,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,6.34,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,6.51,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.91,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,13.52,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.07,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.48,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.01,post-flexion
