time,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_profiler_depth_enabled,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_profiler_depth_enabled_qc_agg
UTC,micromol.L-1,
2014-04-17T23:10:00Z,309.5822857442,NaN
2014-04-17T23:10:00Z,314.992403855,NaN
2014-04-17T23:10:00Z,320.4963822232,NaN
2014-04-17T23:10:00Z,326.4846028651,NaN
2014-04-17T23:10:00Z,331.9348724044,NaN
2014-04-17T23:10:00Z,336.2307967681,NaN
2014-04-17T23:10:00Z,339.5237920207,NaN
2014-04-17T23:10:00Z,342.9603848701,NaN
2014-04-17T23:17:00Z,249.608311169,NaN
2014-04-17T23:18:00Z,243.3158377941,NaN
2014-04-17T23:18:00Z,243.7249767001,NaN
2014-04-17T23:18:00Z,245.1957513217,NaN
2014-04-17T23:18:00Z,247.9717507123,NaN
2014-04-17T23:18:00Z,250.5906927973,NaN
2014-04-17T23:18:00Z,252.2074640162,NaN
2014-04-17T23:19:00Z,253.5856868221,NaN
2014-04-17T23:19:00Z,255.2328018956,NaN
2014-04-17T23:19:00Z,258.3206635673,NaN
2014-04-17T23:19:00Z,262.8399305207,NaN
2014-04-17T23:19:00Z,267.0124170997,NaN
2014-04-17T23:19:00Z,271.2827287994,NaN
2014-04-17T23:19:00Z,276.9849859032,NaN
2014-04-17T23:19:00Z,283.3458840679,NaN
2014-04-17T23:19:00Z,288.352939219,NaN
2014-04-17T23:19:00Z,293.7388233601,NaN
2014-04-17T23:19:00Z,298.1563683911,NaN
2014-04-17T23:19:00Z,302.75295039,NaN
2014-04-17T23:19:00Z,308.0240858956,NaN
2014-04-17T23:20:00Z,311.0620751719,NaN
2014-04-17T23:20:00Z,315.0141366464,NaN
2014-04-17T23:20:00Z,319.304088576,NaN
2014-04-17T23:20:00Z,323.5378982241,NaN
2014-04-17T23:20:00Z,328.2184937544,NaN
2014-04-17T23:20:00Z,333.6212533638,NaN
2014-04-17T23:27:00Z,265.5830176142,NaN
2014-04-17T23:28:00Z,261.7970954046,NaN
