Cruise,date,Location,Transect,Station.,Net.no,moc.1.volume.m3,moc.4.volume.m3,time.start.GMT,time.end.GMT,notes
S18,180707,TR,MaN,5,4,164.6741016,658.6964065,9:58:17,10:02:06,
S18,180707,TR,MaN,3,0,360.4762091,1441.904836,12:01:49,12:11:27,
S18,180707,TR,MaN,3,1,211.4130584,845.6522337,12:11:28,12:16:40,
S18,180707,TR,MaN,3,2,184.7762987,739.1051949,12:16:41,12:21:02,
S18,180707,TR,MaN,3,3,187.130594,748.5223762,12:21:03,12:25:32,
S18,180707,TR,MaN,3,4,185.3359997,741.343999,12:25:33,12:29:57,
S18,180707,TR,MbD,1,0,236.0954998,944.3819986,14:06:55,14:13:14,
S18,180707,TR,MbD,1,3,244.3959888,977.5839553,14:13:15,14:19:47,
S18,180707,TR,MbD,1,4,124.4192522,497.6770085,14:19:48,14:23:13,
S18,180707,TR,MbD,2,0,289.7621796,1159.048718,15:30:05,15:38:22,
S18,180707,TR,MbD,2,1,343.0039979,1372.015991,15:38:23,15:46:00,
S18,180707,TR,MbD,2,2,136.9240952,547.6963808,15:46:01,15:48:49,
S18,180707,TR,MbD,2,3,125.6770402,502.7081609,15:48:50,15:51:36,
S18,180707,TR,MbD,2,4,170.6493402,682.5973609,15:51:37,15:55:38,
S18,180707,TR,MbD,3,0,432.4184703,1729.673881,17:13:34,17:24:52,
S18,180707,TR,MbD,3,1,262.0032275,1048.012909,17:24:53,17:32:08,
S18,180707,TR,MbD,3,2,171.2354869,684.9419472,17:32:09,17:36:27,
S18,180707,TR,MbD,3,3,147.1594464,588.6377853,17:36:28,17:40:17,
S18,180707,TR,MbD,3,4,161.9018221,647.6072884,17:40:18,17:44:28,
S18,180707,TR,MbD,4,0,405.919314,1623.677257,19:09:46,19:20:14,
S18,180707,TR,MbD,4,1,72.81053014,291.2421205,19:20:15,19:22:25,
S18,180707,TR,MbD,4,2,183.2645363,733.0581452,19:22:26,19:28:00,
S18,180707,TR,MbD,4,3,315.514225,1262.056899,19:28:01,19:36:39,
S18,180707,TR,MbD,4,4,232.4244585,929.6978343,19:36:40,19:42:45,
S18,180707,TR,MbD,5,0,258.8500457,1035.400183,21:05:23,21:13:14,
S18,180707,TR,MbD,5,1,180.7428583,722.9714332,21:13:15,21:17:05,
S18,180707,TR,MbD,5,2,128.5651717,514.2606865,21:17:06,21:19:55,
S18,180707,TR,MbD,5,3,129.5507381,518.2029521,21:19:56,21:23:08,
S18,180707,TR,MbD,5,4,166.5311878,666.1247514,21:23:09,21:28:00,
S18,180708,TR,MbN,3,0,468.6828735,1874.731493,9:00:51,9:12:11,
S18,180708,TR,MbN,3,1,182.9736251,731.8945003,9:12:12,9:16:22,
S18,180708,TR,MbN,3,2,177.5201637,710.0806548,9:16:23,9:20:32,
S18,180708,TR,MbN,3,3,175.9299104,703.7196417,9:20:33,9:24:43,
S18,180708,TR,MbN,3,4,168.8334567,675.3338272,9:24:44,9:28:59,
S18,180708,TR,MbN,1,0,282.8982477,1131.592991,10:21:30,10:28:05,
S18,180708,TR,MbN,1,3,237.1609103,948.6436415,10:28:06,10:34:30,
S18,180708,TR,MbN,1,4,203.7510546,815.0042187,10:34:31,10:39:34,
S18,180709,NH,MaD,1,0,176.0638522,704.2554089,14:57:58,15:02:19,
S18,180709,NH,MaD,1,3,162.2089546,648.8358181,15:02:20,15:05:55,
S18,180709,NH,MaD,1,4,138.8565063,555.426025,15:05:56,15:09:29,
S18,180709,NH,MaD,2,0,240.8439383,963.3757532,16:16:03,16:22:25,
S18,180709,NH,MaD,2,2,172.3435117,689.3740468,16:22:26,16:26:03,
S18,180709,NH,MaD,2,3,166.0406641,664.1626562,16:26:04,16:29:38,
S18,180709,NH,MaD,2,4,205.1157891,820.4631561,16:29:39,16:34:39,
S18,180709,NH,MaD,3,0,327.7567773,1311.027109,18:46:45,18:54:56,
S18,180709,NH,MaD,3,1,275.5187154,1102.074862,18:54:57,19:01:08,
S18,180709,NH,MaD,3,2,180.2143913,720.8575653,19:01:09,19:05:01,
S18,180709,NH,MaD,3,3,222.4677064,889.8708259,19:05:02,19:10:15,
S18,180709,NH,MaD,3,4,194.74127,778.9650801,19:10:16,19:15:07,
S18,180709,NH,MaD,4,0,264.3972455,1057.588982,20:47:50,20:54:53,
S18,180709,NH,MaD,4,1,250.6199162,1002.479665,20:54:54,20:59:33,
S18,180709,NH,MaD,4,2,134.7778737,539.1114951,20:59:34,21:02:06,
S18,180709,NH,MaD,4,3,156.9756252,627.9025011,21:02:07,21:05:22,
S18,180709,NH,MaD,4,4,166.834693,667.3387723,21:05:23,21:09:11,
S18,180709,NH,MaD,5,0,386.0747732,1544.299092,22:54:38,23:05:03,
S18,180709,NH,MaD,5,1,168.5642875,674.25715,23:05:04,23:09:35,
S18,180709,NH,MaD,5,2,184.8072438,739.2289752,23:09:36,23:14:42,
S18,180709,NH,MaD,5,3,229.2810522,917.1242088,23:14:43,23:20:52,
S18,180709,NH,MaD,5,4,187.6838411,750.7353642,23:20:54,23:25:32,
S18,180710,NH,MaN,5,0,346.041437,1384.165748,5:08:11,5:18:25,
S18,180710,NH,MaN,5,1,328.1026585,1312.410634,5:18:26,5:26:20,
S18,180710,NH,MaN,5,2,80.20687723,320.8275089,5:26:21,5:28:10,
S18,180710,NH,MaN,5,3,153.2745649,613.0982596,5:28:11,5:31:48,
