cruise,date,transect,station,location,Moc,Net,Haul,Length_mm,Notes
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.64,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.33,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,5.64,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.48,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.52,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.18,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,5.48,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.3,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.2,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,5.04,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.73,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.98,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.57,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.78,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.96,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.76,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.65,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.24,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.68,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,5.57,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,5.31,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.19,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,5.5,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.36,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.22,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.01,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.34,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.23,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.96,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,5.32,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.39,Body segmented 
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,5.45,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.58,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.46,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.22,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.91,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.6,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.83,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.09,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.75,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.86,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.13,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.98,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.43,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.91,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.8,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.25,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.81,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,5.27,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.65,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.65,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.16,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.22,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.63,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.44,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.71,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.46,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.44,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.12,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.56,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,NA,damaged
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.37,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.43,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.31,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.03,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.91,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.09,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.86,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.4,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.78,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.22,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.85,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.3,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.16,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.76,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,NA,damaged
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.39,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.76,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.29,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.3,
