,cruise,date,transect,station,location,Moc,Net,Haul,Length_mm,Notes
86,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.98,
87,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.06,
88,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.36,
89,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.71,
90,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.13,
91,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,12.13,
92,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.34,
93,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.69,
94,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.99,
95,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.18,
96,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.18,
97,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,15.1,
98,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,14.75,
99,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,13.04,
100,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,12.12,
101,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.16,
102,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,13.28,
103,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,16.12,
104,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,12.54,
105,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,14.91,
106,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.85,post-flexion
107,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.98,post-flexion
108,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.74,
109,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.15,post-flexion
110,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,12.67,post-flexion
111,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.05,post-flexion
112,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.63,post-flexion
113,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.62,post-flexion
114,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,12.87,post-flexion
115,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.51,
116,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.46,post-flexion
117,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.69,post-flexion
118,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.41,post-flexion
119,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.15,
120,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.18,post-flexion
121,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.77,
122,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.79,post-flexion
123,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,6.34,
124,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,6.51,
125,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.91,post-flexion
126,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,13.52,post-flexion
127,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.07,
